FVA result

obj : 0.494566(+-1.0%)
Name	min	max
R_EX_fum_e_	0.0	0.0
R_EX_cbi_e_	0.0	0.0
R_NTD10	0.0	0.61055
R_SUCOAS	-7.647709	-4.97214
R_PROT_cp_PglA_S	0.0	8.6E-5
R_T3SS_E_RipT_BioS	0.0	1.43E-4
R_EX_gnid_e_	0.0	0.0
R_INSEPIH	0.0	0.0
R_EX_T3SS_E_RipAR_e_	0.0	7.7E-5
R_EX_polygalurnxu_e_	0.0	0.0
R_AGtex	0.0	0.0
R_PSPGAtex	0.0	0.00325
R_PPCDC	2.82E-4	2.85E-4
R_AGM3PH	0.0	0.113591
R_PROT_Pme_BioS	0.0	1.03E-4
R_3HPPtex	-0.095773	0.0
R_T3SS_E_RipAS_S	0.0	5.3E-5
R_UAAGDS	0.032398	0.032725
R_HGNTOR	0.0	0.072901
R_FERULCOAS	0.0	0.0
R_SKM3PCT	0.171733	0.262185
R_CRNabcpp	0.0	1.628133
R_HIStex	-0.042289	0.0
R_ALAtex	0.0	0.0
R_T3SS_E_RipG5_BioS	0.0	9.2E-5
R_AMID3	0.0	0.020785
R_NACt1pp	-0.041407	0.0
R_OCHSLACtex	-0.011216	0.0
R_EX_pa181_e_	0.0	0.0
R_PSP_L	0.408959	1.339321
R_EX_protein_RSp1444_e_	0.0	3.7E-5
R_NT_DNAf_30kb_ep	0.0	0.0
R_EX_mn2_e_	-3.42E-4	-3.38E-4
R_OPHBDC	1.09E-4	1.1E-4
R_EX_23camp_e_	0.0	0.0
R_AGM4PH	0.0	0.111009
R_CYSTL	0.0	0.407033
R_GLCGSD_e_	0.0	0.0
R_METtex	0.0	0.0
R_PCW_bd_RSp1539	0.0	0.0
R_EX_chtbs_e_	0.0	0.0
R_GLYCL	-999.565643	1000.0
R_G5SD	0.0	1.350313
R_CD2abcpp	0.0	0.0
R_EX_ampi_e_	0.0	0.0
R_3OAR40	0.095203	0.112493
R_ADCYRS	1.09E-4	1.1E-4
R_BZDH	0.0	0.013419
R_T6SS_E_RSp0629_S	0.0	4.8E-5
R_PROT_pe_RSc0887_S	0.0	1.4E-5
R_GTHOXtex	0.0	0.0
R_TMKr	-0.010688	0.0
R_FE2tex	-0.26064	0.756119
R_ENDOGLAS	0.0	0.0
R_SUCCtex	0.0	0.0
R_MEOHtex	-1.0E-6	0.0
R_EX_protein_RSp1180_e_	0.0	1.3E-5
R_DOXRBCNtpp	0.0	0.0
R_EX_pa161_e_	0.0	0.0
R_EX_arg_L_e_	0.0	0.044404
R_EX_bhb_e_	0.0	0.0
R_TYRtex	-0.026986	0.0
R_PHETRS	0.111457	0.114168
R_EX_GKC_storage_c	0.0	0.00357
R_GALKr	0.0	0.0
R_NTRLASE	0.0	0.0
R_NTPP4	0.0	1.2211
R_DHPR	0.0	0.107991
R_ADSS	0.121017	0.528852
R_FMNAT	1.09E-4	1.1E-4
R_GALCTtex	0.0	0.0
R_MMM	-0.697771	1.2211
R_PROT_RSp0103_BioS	0.0	5.2E-5
R_EX_T6SS_E_RSp0175_e_	0.0	4.9E-5
R_FRUptspp	0.0	0.0
R_DDGALK	0.0	0.0
R_CLPNS160pp	0.001728	0.001994
R_EX_quin_kt_e_	0.0	0.037864
R_ACACT4r	0.0	0.0
R_AACOAR	0.0	0.814067
R_EX_T3SS_E_RipU2_e_	0.0	1.61E-4
R_BROMOSUCCt_2pp	0.0	0.0
R_GLYCLTtex	-0.180985	0.0
R_PPAtex	-0.099682	0.0
R_UDCPDPS	2.7E-5	2.7E-5
R_GDPDPK	0.0	1.2211
R_NO3R2	0.0	0.336855
R_EX_T3SS_E_RipAS_e_	0.0	5.3E-5
R_CYStpp	0.0	1.2211
R_EX_cana_e_	0.0	0.0
R_PROT_pe_RSc3188_S	0.0	1.8E-5
R_COBALT2t3pp	0.0	4.8844
R_lpdperox3	0.0	0.075373
R_ACPCD	-0.064268	0.0
R_T3SS_E_RipS4_S	0.0	1.8E-5
R_EX_tre_e_	0.0	0.0
R_KDOPS	0.005229	0.005282
R_EAR60x	0.095203	0.112493
R_TZEAtex	-0.022985	0.0
R_T3SS_E_RipAI_BioS	0.0	2.96E-4
R_CLPNS181pp	7.93E-4	9.15E-4
R_EX_protein_RSp1467_e_	0.0	3.92E-4
R_EX_protein_RSp1466_e_	0.0	3.74E-4
R_PROT_pe_RSc2149_S	0.0	1.26E-4
R_PIt2rpp	-1.217884	0.431734
R_EX_glyc_e_	0.0	0.004552
R_ORNDC	0.0	0.630142
R_T3SS_E_RipH3_BioS	0.0	6.5E-5
R_EX_g3ps_e_	0.0	0.0
R_PROT_cp_RSc0337_S	0.0	8.5E-5
R_LEUtex	0.0	0.0
R_NDPK4	0.039645	0.040045
R_ASPVALabcpp	0.0	0.0
R_CO2tex	-16.6143	-16.188678
R_ABUTD	0.0	0.61055
R_PSSA161	0.005219	0.006023
R_OCHSLACtpp	0.0	0.01729
R_T6SS_E_RSp0175_S	0.0	4.9E-5
R_T3SS_E_RipQ_S	0.0	9.3E-5
R_TRPO2	0.0	0.12211
R_PROT_RSc3188_BioS	0.0	1.8E-5
R_TRPODC	0.0	0.020785
R_BRtex	0.0	0.0
R_IADtpp	-0.020785	0.0
R_BUTt2rpp	-0.070788	0.0
R_MTHFC_glu	0.0	0.651253
R_EX_succ_e_	0.0	0.0
R_PROT_cp_PehC_S	0.0	6.7E-5
R_CTPS1	0.0	1.350458
R_VALabcpp	0.0	1.628133
R_METSr	0.0	0.063115
R_ALAGLNtex	0.0	0.0
R_ARGN	0.0	0.325627
R_EX_2kmb_e_	0.0	0.0
R_SPMS	0.003302	0.003335
R_HACD4	0.0	0.0
R_EX_T6SS_E_RSc3222_e_	0.0	8.3E-5
R_ADNUC	0.0	0.611752
R_EX_12dgr180_e_	0.0	0.0
R_HACD3	-0.01729	0.0
R_EX_T3SS_E_RipAP_e_	0.0	1.5E-4
R_GK1	-999.879267	1.350322
R_GLNTRS	0.132712	0.139385
R_EX_ala_L_gln_L_e_	0.0	0.0
R_ME2	0.0	1.986907
R_AMALT3	0.0	0.668595
R_FALGTHLs	0.0	0.0
R_AHLACY3OC8	0.0	0.0
R_TRPS1r	0.002076	0.124186
R_ADCS	3.28E-4	3.31E-4
R_3OAR120	0.063562	0.069322
R_PGPP180	6.85E-4	0.001774
R_EX_T3SS_E_RipN_e_	0.0	9.9E-5
R_T3SS_E_RipAX2_BioS	0.0	2.13E-4
