FVA result

obj : 0.440938(+-1.0%)
Name	min	max
R_ACHBS	0.124125	0.125379
R_OPMEACPS	1.0E-6	1.0E-6
R_EX_cit_e	0.0	0.0
R_CPPPGO2	0.0	2.2E-4
R_ALAt2tex	0.0	0.0
R_ACODA	0.0	0.748704
R_EX_gal_e	0.0	0.0
R_EX_fe2_e	0.00395	0.003989
R_ABUTt2pp	0.0	0.0
R_DHAPT	0.0	0.555572
R_AMPMS2	1.09E-4	1.1E-4
R_EPMEACPR	1.0E-6	1.0E-6
R_KDOPP	3.32E-4	3.35E-4
R_DUTPDP	0.014298	0.014442
R_KAS14	0.0	0.183011
R_GLCptspp	0.0	0.0
R_MPTG2	3.28E-4	3.31E-4
R_NDPK6	0.0	0.014442
R_LYSTRS	0.146756	0.148238
R_PSD181	0.012071	0.012193
R_IMPC	-0.245026	-0.192401
R_METAT	0.003949	0.004428
R_DM_DAD_5	4.0E-6	4.44E-4
R_ZN2t3pp	-1.6E-4	-1.58E-4
R_DCTPD	0.0	0.01444
R_OGMEACPD	1.0E-6	1.0E-6
R_XYLabcpp	0.0	0.0
R_PROD2	0.0	1.481525
R_PDX5PO	1.09E-4	1.1E-4
R_PGPP160pp	0.0	0.007424
R_HCO3E	1.740925	2.111307
R_PMANM	-1.68E-4	-1.66E-4
R_3OAR120	0.083368	0.08421
R_COBALT2tex	1.2E-5	1.2E-5
R_EX_arg_L_e	0.0	0.0
R_ACt2rpp	-99999.0	0.0
R_PRAI	0.024231	0.024475
R_BPNT	0.0	0.166667
R_EX_gln_L_e	7.25	7.25
R_SHKK	0.162954	0.1646
R_ATPM	3.0731	3.0731
R_PGL	0.0	0.370381
R_TMPKr	0.0	1.111144
R_ARGN	0.0	0.370381
R_PYAM5POr	0.0	0.634939
R_SDPDS	0.160206	0.200611
R_MOATXF	1.66E-4	1.68E-4
R_EAR181x	0.033154	0.033489
R_3OAR100	0.18118	0.18301
R_CYSTGL	0.0	0.040504
R_MANptspp	0.0	0.0
R_GLUTRS	0.115081	0.116244
R_GLCtex	0.0	0.0
R_EX_h2o_e	-6.641477	-6.022789
R_UAGPT3	0.01345	0.013586
R_PHETRS	0.079093	0.079892
R_ASPt2_2tex	0.0	0.0
R_GLUR	-0.013586	-0.01345
R_DHFR	0.014733	0.014882
R_AP4AHr	0.0	1.111144
R_HPPK2	4.36E-4	4.4E-4
R_EX_co2_e	-17.290489	-16.934923
R_OGMEACPR	1.0E-6	1.0E-6
R_ALATA_L	-1.725647	-0.244122
R_MG2t3_2pp	-2.218263	0.004066
R_NAt3_1	0.0	99999.0
R_HISabcpp	0.0	0.0
R_CA2tpp	0.002415	0.00244
R_RBFSa	4.36E-4	4.4E-4
R_LPADSSXF	1.66E-4	1.68E-4
R_DHQD	0.162954	0.1646
R_G3PD2	-1.591735	-0.110209
R_S2FE2SR	1.0E-6	1.0E-6
R_OPHBDC	1.09E-4	1.1E-4
R_MTRI	0.003289	0.003323
R_PGPP181	0.00156	0.004552
R_PGP181abcpp	0.0	0.002976
R_PHETA1	-0.079892	-0.079093
R_ADCS	4.36E-4	4.4E-4
R_DXPRIi	0.001495	0.00151
R_ASPO3	0.0	0.001122
R_TRPS3r	0.024231	0.024475
R_GRTT	2.45E-4	2.47E-4
R_DM_ADE	0.003289	0.055914
R_GLUabcpp	0.0	1.481525
R_SUCD1	-1.481148	3.81E-4
R_AGPAT160	0.041352	0.04177
R_PSSA161	0.02342	0.023656
R_EX_ac_e	0.0	0.0
R_SPMS	0.003289	0.003323
R_EX_ni2_e	1.5E-4	1.51E-4
R_LPSabctpp	4.1E-5	4.2E-5
R_AHC	5.46E-4	5.51E-4
R_DHORD2	0.143946	0.229418
R_EDTXS3XF	1.66E-4	1.68E-4
R_ASPT	0.0	7.251321
R_PGP161abcpp	0.0	0.005774
R_DKMPPD	0.003289	0.003323
R_3OAR80	0.181181	0.183011
R_HEX1	0.0	0.0
R_NTPP1	0.0	1.111144
R_EPStppXF	0.0	0.0
R_SCYSDS	5.11E-4	5.16E-4
R_EAR141x	0.09748	0.098464
R_3OAR160	0.082704	0.08354
R_THZPSN3	1.09E-4	1.1E-4
R_ACLS	0.373571	0.377345
R_MTHFC	0.34456	0.700126
R_DMQMT	1.09E-4	1.1E-4
R_ACOTA	-0.748704	-0.145928
R_PGM	2.013954	2.384335
R_GLNabc	7.25	7.25
R_NTD7	0.0	1.111144
R_ACS	0.252075	0.854851
R_UGMDDS	0.01345	0.013586
R_AKP1	0.0	4.4E-4
R_CYTK2	0.0	1.111144
R_METOX1s	0.0	0.317762
R_NDPK5	0.01593	1.127074
R_DHDPRy	0.160206	0.200611
R_CBPS	0.289873	0.660255
R_ANS	0.024231	0.024475
R_UAPGR	0.01345	0.013586
R_3OAR140	0.082704	0.08354
R_LPSS1XF	4.1E-5	4.2E-5
R_PYK	0.0	1.111144
R_DM_FOR	0.004597	0.360163
R_NTPP4	0.0	1.111144
R_FBP	0.497705	1.608849
R_SO3abcpp	0.0	0.108906
R_TDPDRR	0.091562	0.092487
R_PROT_LesA_BioS	0.0	0.0
R_RIBtex	0.0	0.0
R_DHGLYH	-1.1E-4	-1.09E-4
R_MECDPS	0.001495	0.00151
R_ARGSL	0.145928	0.516309
R_UDPGDr	0.015558	0.015715
R_PSCVT	0.162954	0.1646
R_TREtex	0.0	0.0
R_ADK3	-99993.450003	99998.823528
R_XYLK	0.0	0.0
R_MLDCP3App	0.0	6.63E-4
R_CYSTS	0.0	0.040504
R_EAR120x	0.082704	0.08354
R_PROT_cp_LesA	0.0	0.0
R_MTHFD	0.34456	0.700126
R_MDDCP2pp	3.28E-4	3.31E-4
R_DCTPD2	0.0	1.111144
R_AIRC3	-0.204565	-0.151941
R_3OAR60	0.181181	0.183011
R_3OAR141	0.09748	0.098464
R_GLCt2	0.0	0.0
R_EX_inost_e	0.0	0.0
R_P5CD1p	0.0	1.111144
R_DTMPK	0.014298	1.125442
R_CDPMEK	0.001495	0.00151
R_ICL	1.09E-4	1.111253
R_GLNtex	7.25	7.25
R_TDPGDH	0.091562	0.092487
R_DASYN160	0.041352	0.04177
R_MCTP1App	0.002952	0.006296
R_ALATA_D2	0.0	0.634939
R_NH4tpp	-10.182054	-9.918932
R_RBFK	1.09E-4	1.1E-4
R_PPPGO	2.18E-4	2.2E-4
R_MEOHtrpp	-1.0E-6	-1.0E-6
R_TDP	-1.1E-4	1.111035
R_PPCDC	2.81E-4	2.84E-4
R_TRPTRS	0.024231	0.024475
R_ALAt2pp	0.0	0.0
R_PSP_L	0.0	0.744958
R_UAAGDS	0.01345	0.013586
R_TMPPP	1.09E-4	1.1E-4
R_Niabcpp	0.0	0.888915
R_GHMT2r	0.345122	0.522905
R_MOPG	0.192474	0.194418
R_ME2	2.458523	7.06929
R_ACt4pp	0.0	99999.0
R_EAR100x	0.083368	0.08421
R_OCBT	-0.602776	0.516309
R_PSP	0.0	0.744958
R_GLUt2rpp	-99999.0	0.0
R_PSD161	0.02342	0.023656
R_QULNS	0.001111	0.001122
R_ASPTRS	0.103095	0.104136
R_EX_glyc_e	0.0	0.0
R_3OAR181	0.033154	0.033489
R_3HAD161	0.09748	0.098464
R_ICDHyr2	-0.459087	0.652057
R_DNMPPA	0.0	4.4E-4
R_EX_URA_e	-0.085473	0.0
R_S2FE2SS2	1.22E-4	1.23E-4
R_3OAR40	0.181181	0.183011
R_PG160abcpp	0.0	0.007424
R_GDPDPK	0.0	1.111144
R_MDH2	0.0	1.481525
R_FE2abcpp	0.0	0.003989
R_IG3PS	0.040461	0.077042
R_DADK	0.0	1.111144
R_RNDR4	0.0	0.014442
R_PROabcpp	0.0	1.481525
R_UDPGLCUR4EP	0.002199	0.002221
R_NADDP	0.0	1.111144
R_SUCDi	7.242078	8.902497
R_ACOCMT	0.0	0.748704
R_EPSsynthXF	0.0	0.0
R_GTHP	0.0	0.317762
